Year,Series,Units,Value
2010,Proportion of schools with access to electricity,%,100.0
2011,Proportion of schools with access to electricity,%,100.0
2025,Proportion of schools with access to electricity,%,100.0
2022,Proportion of schools with access to electricity,%,100.0
2018,Proportion of schools with access to electricity,%,100.0
2014,Proportion of schools with access to electricity,%,100.0
2016,Proportion of schools with access to electricity,%,100.0
2013,Proportion of schools with access to electricity,%,100.0
2012,Proportion of schools with access to electricity,%,100.0
2024,Proportion of schools with access to electricity,%,100.0
2017,Proportion of schools with access to electricity,%,100.0
2023,Proportion of schools with access to electricity,%,100.0
2021,Proportion of schools with access to electricity,%,100.0
2020,Proportion of schools with access to electricity,%,100.0
2019,Proportion of schools with access to electricity,%,100.0
2015,Proportion of schools with access to electricity,%,100.0
2011,Proportion of schools with an internet connection,%,100.0
2013,Proportion of schools with an internet connection,%,100.0
2016,Proportion of schools with an internet connection,%,100.0
2019,Proportion of schools with an internet connection,%,99.9
2021,Proportion of schools with an internet connection,%,99.9
2017,Proportion of schools with an internet connection,%,100.0
2014,Proportion of schools with an internet connection,%,100.0
2012,Proportion of schools with an internet connection,%,100.0
2010,Proportion of schools with an internet connection,%,100.0
2023,Proportion of schools with an internet connection,%,99.9
2015,Proportion of schools with an internet connection,%,100.0
2013,Proportion of schools with single-sex restrooms,%,100.0
2012,Proportion of schools with single-sex restrooms,%,100.0
2021,Proportion of schools with single-sex restrooms,%,100.0
2010,Proportion of schools with single-sex restrooms,%,100.0
2018,Proportion of schools with single-sex restrooms,%,100.0
2016,Proportion of schools with single-sex restrooms,%,100.0
2015,Proportion of schools with single-sex restrooms,%,100.0
2014,Proportion of schools with single-sex restrooms,%,100.0
2017,Proportion of schools with single-sex restrooms,%,100.0
2019,Proportion of schools with single-sex restrooms,%,100.0
2025,Proportion of schools with single-sex restrooms,%,100.0
2020,Proportion of schools with single-sex restrooms,%,100.0
2022,Proportion of schools with single-sex restrooms,%,100.0
2011,Proportion of schools with single-sex restrooms,%,100.0
2023,Proportion of schools with single-sex restrooms,%,100.0
2024,Proportion of schools with single-sex restrooms,%,100.0
2014,Proportion of schools with drinking water supply,%,100.0
2011,Proportion of schools with drinking water supply,%,100.0
2010,Proportion of schools with drinking water supply,%,100.0
2012,Proportion of schools with drinking water supply,%,100.0
2024,Proportion of schools with drinking water supply,%,100.0
2013,Proportion of schools with drinking water supply,%,100.0
2016,Proportion of schools with drinking water supply,%,100.0
2015,Proportion of schools with drinking water supply,%,100.0
2020,Proportion of schools with drinking water supply,%,100.0
2022,Proportion of schools with drinking water supply,%,100.0
2017,Proportion of schools with drinking water supply,%,100.0
2018,Proportion of schools with drinking water supply,%,100.0
2019,Proportion of schools with drinking water supply,%,100.0
2021,Proportion of schools with drinking water supply,%,100.0
2023,Proportion of schools with drinking water supply,%,100.0
2025,Proportion of schools with drinking water supply,%,100.0
2010,Proportion of schools with handwashing facilities,%,100.0
2011,Proportion of schools with handwashing facilities,%,100.0
2014,Proportion of schools with handwashing facilities,%,100.0
2012,Proportion of schools with handwashing facilities,%,100.0
2013,Proportion of schools with handwashing facilities,%,100.0
2015,Proportion of schools with handwashing facilities,%,100.0
2016,Proportion of schools with handwashing facilities,%,100.0
2024,Proportion of schools with handwashing facilities,%,100.0
2020,Proportion of schools with handwashing facilities,%,100.0
2017,Proportion of schools with handwashing facilities,%,100.0
2018,Proportion of schools with handwashing facilities,%,100.0
2019,Proportion of schools with handwashing facilities,%,100.0
2021,Proportion of schools with handwashing facilities,%,100.0
2022,Proportion of schools with handwashing facilities,%,100.0
2023,Proportion of schools with handwashing facilities,%,100.0
2025,Proportion of schools with handwashing facilities,%,100.0
